assembly_fullID_updated	Tip_ID	assembly_fullID_updated_kegg	assembly_fullID_updated_OG	Tip_ID_v2	FINAL_Tip_ID	DanaKegg
alloascoidea_hylecoeti	Alloascoidea_hylecoeti_NRRLY-17703	alloascoidea_hylecoeti	alloascoidea_hylecoeti	Alloascoidea_hylecoeti_JCM_7604	Alloascoidea_hylecoeti_JCM_7604	alloascoidea_hylecoeti
arxula_adeninivorans	Blastobotrys_adeninivorans_LS3	arxula_adeninivorans	arxula_adeninivorans	Blastobotrys_adeninivorans_LS3	Blastobotrys_adeninivorans_LS3	arxula_adeninivorans
ashbya_aceri	Ashbya_aceri_FM-2008	ashbya_aceri	ashbya_aceri	Ashbya_aceri	Ashbya_aceri	ashbya_aceri
brettanomyces_anomalus	Brettanomyces_anomalus_YV396	brettanomyces_anomalus	brettanomyces_anomalus	Brettanomyces_anomalus_YV396	Brettanomyces_anomalus_YV396	brettanomyces_anomalus
candida_albicans	Candida_albicans_SC5314	candida_albicans	candida_albicans	Candida_albicans_SC5314	Candida_albicans_SC5314	candida_albicans
candida_apicola	Starmerella_apicola_NRRLY-50540	candida_apicola	candida_apicola	Starmerella_apicola_NRRL_Y-50540	Starmerella_apicola_NRRL_Y-50540	candida_apicola
candida_auris	Candida_auris_Ci6684	candida_auris	candida_auris	Candida_auris_Ci_6684	Candida_auris_Ci_6684	candida_auris
candida_dubliniensis	Candida_dubliniensis_CD36	candida_dubliniensis	candida_dubliniensis	Candida_dubliniensis_CD36	Candida_dubliniensis_CD36	candida_dubliniensis
candida_infanticola	Wickerhamiella_infanticola_DS02	candida_infanticola	candida_infanticola	Wickerhamiella_infanticola_DS02	Wickerhamiella_infanticola_DS02	candida_infanticola
candida_orthopsilosis	Candida_orthopsilosis_90-125	candida_orthopsilosis	candida_orthopsilosis	Candida_orthopsilosis_90_125	Candida_orthopsilosis_90-125	candida_orthopsilosis
candida_parapsilosis	Candida_parapsilosis_CDC317	candida_parapsilosis	candida_parapsilosis	Candida_parapsilosis_CDC_317	Candida_parapsilosis_CDC_317	candida_parapsilosis
candida_psychrophila	Candida_psychrophila_NRRLY-17665T	candida_psychrophila	candida_psychrophila	Candida_psychrophila_NRRL_Y-17665	Candida_psychrophila	candida_psychrophila
candida_sojae	Candida_sojae_GF41	candida_sojae	candida_sojae	Candida_sojae_GF41	Candida_sojae_GF41	candida_sojae
candida_tropicalis	Candida_tropicalis_MYA-3404	candida_tropicalis	candida_tropicalis	Candida_tropicalis_MYA-3404	Candida_tropicalis_MYA-3404	candida_tropicalis
candida_versatilis	Wickerhamiella_versatilis_JCM5958	candida_versatilis	candida_versatilis	Wickerhamiella_versatilis_JCM_5958	Wickerhamiella_versatilis_JCM_5958	candida_versatilis
