Tree_Name	assembly	pep	cds	gff	gtf
Aciculoconidium_aculeatum	yHMPu5000034654_aciculoconidium_aculeatum_180604.fas	yHMPu5000034654_aciculoconidium_aculeatum_180604.final.pep	yHMPu5000034654_aciculoconidium_aculeatum_180604.final.cds	yHMPu5000034654_aciculoconidium_aculeatum_180604.final.gff3	yHMPu5000034654_aciculoconidium_aculeatum_180604.final.gtf
Alloascoidea_africana	yHMPu5000037918_alloascoidea_africana_180604.fas	yHMPu5000037918_alloascoidea_africana_180604.final.pep	yHMPu5000037918_alloascoidea_africana_180604.final.cds	yHMPu5000037918_alloascoidea_africana_180604.final.gff3	yHMPu5000037918_alloascoidea_africana_180604.final.gtf
Alloascoidea_hylecoeti_JCM_7604	alloascoidea_hylecoeti.fas	alloascoidea_hylecoeti.final.pep	alloascoidea_hylecoeti.final.cds	alloascoidea_hylecoeti.final.gff3	alloascoidea_hylecoeti.final.gtf
Alloascoidea_hylecoeti_NRRL_Y-17703	yHMPu5000026117_alloascoidea_hylecoeti_180604.fas	yHMPu5000026117_alloascoidea_hylecoeti_180604.final.pep	yHMPu5000026117_alloascoidea_hylecoeti_180604.final.cds	yHMPu5000026117_alloascoidea_hylecoeti_180604.final.gff3	yHMPu5000026117_alloascoidea_hylecoeti_180604.final.gtf
Ambrosiozyma_ambrosiae	yHMPu5000026137_ambrosiozyma_ambrosiae_160519.fas	yHMPu5000026137_ambrosiozyma_ambrosiae_160519.final.pep	yHMPu5000026137_ambrosiozyma_ambrosiae_160519.final.cds	yHMPu5000026137_ambrosiozyma_ambrosiae_160519.final.gff3	yHMPu5000026137_ambrosiozyma_ambrosiae_160519.final.gtf
Ambrosiozyma_angophorae	yHMPu5000034942_ambrosiozyma_angophorae_160519.fas	yHMPu5000034942_ambrosiozyma_angophorae_160519.final.pep	yHMPu5000034942_ambrosiozyma_angophorae_160519.final.cds	yHMPu5000034942_ambrosiozyma_angophorae_160519.final.gff3	yHMPu5000034942_ambrosiozyma_angophorae_160519.final.gtf
Ambrosiozyma_kamigamensis	yHMPu5000037920_ambrosiozyma_kamigamensis_190924.haplomerger2.fas	yHMPu5000037920_ambrosiozyma_kamigamensis_190924.haplomerger2.final.pep	yHMPu5000037920_ambrosiozyma_kamigamensis_190924.haplomerger2.final.cds	yHMPu5000037920_ambrosiozyma_kamigamensis_190924.haplomerger2.final.gff3	yHMPu5000037920_ambrosiozyma_kamigamensis_190924.haplomerger2.final.gtf
Ambrosiozyma_kashinagicola	yHMPu5000035038_ambrosiozyma_kashinagacola_160519.fas	yHMPu5000035038_ambrosiozyma_kashinagacola_160519.final.pep	yHMPu5000035038_ambrosiozyma_kashinagacola_160519.final.cds	yHMPu5000035038_ambrosiozyma_kashinagacola_160519.final.gff3	yHMPu5000035038_ambrosiozyma_kashinagacola_160519.final.gtf
Ambrosiozyma_llanquihuensis	yHMPu5000035039_ambrosiozyma_llanquihuensis_160519.haplomerger2.fas	yHMPu5000035039_ambrosiozyma_llanquihuensis_160519.haplomerger2.final.pep	yHMPu5000035039_ambrosiozyma_llanquihuensis_160519.haplomerger2.final.cds	yHMPu5000035039_ambrosiozyma_llanquihuensis_160519.haplomerger2.final.gff3	yHMPu5000035039_ambrosiozyma_llanquihuensis_160519.haplomerger2.final.gtf
Ambrosiozyma_maleeae	yHMPu5000035040_ambrosiozyma_maleeae_160519.fas	yHMPu5000035040_ambrosiozyma_maleeae_160519.final.pep	yHMPu5000035040_ambrosiozyma_maleeae_160519.final.cds	yHMPu5000035040_ambrosiozyma_maleeae_160519.final.gff3	yHMPu5000035040_ambrosiozyma_maleeae_160519.final.gtf
